"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055008","cardiac muscle tissue morphogenesis","5/16","25/3861",3.10260547360359e-08,6.10591011083068e-06,4.59859338891014e-06,"Ttn/Pkp2/Myh6/Dsp/Actc1",5
"GO:0048644","muscle organ morphogenesis","5/16","26/3861",3.83216115742511e-08,6.10591011083068e-06,4.59859338891014e-06,"Ttn/Pkp2/Myh6/Dsp/Actc1",5
"GO:0060415","muscle tissue morphogenesis","5/16","26/3861",3.83216115742511e-08,6.10591011083068e-06,4.59859338891014e-06,"Ttn/Pkp2/Myh6/Dsp/Actc1",5
"GO:0060048","cardiac muscle contraction","6/16","65/3861",1.26469033335232e-07,1.51130494835602e-05,1.13822130001709e-05,"Ttn/Pkp2/Myh6/Dsp/Actc1/Ctnna3",6
"GO:0070252","actin-mediated cell contraction","5/16","40/3861",3.70722161768944e-07,3.5441038665111e-05,2.66919956473639e-05,"Pkp2/Myh6/Dsp/Actc1/Ctnna3",5
"GO:0006941","striated muscle contraction","6/16","82/3861",5.15994074560549e-07,4.11075279399904e-05,3.09596444736329e-05,"Ttn/Pkp2/Myh6/Dsp/Actc1/Ctnna3",6
"GO:0030048","actin filament-based movement","5/16","50/3861",1.16546618380634e-06,7.47608908037514e-05,5.6305273408683e-05,"Pkp2/Myh6/Dsp/Actc1/Ctnna3",5
"GO:0003015","heart process","6/16","97/3861",1.40763183521708e-06,7.47608908037514e-05,5.6305273408683e-05,"Ttn/Pkp2/Myh6/Dsp/Actc1/Ctnna3",6
"GO:0060047","heart contraction","6/16","97/3861",1.40763183521708e-06,7.47608908037514e-05,5.6305273408683e-05,"Ttn/Pkp2/Myh6/Dsp/Actc1/Ctnna3",6
"GO:0003007","heart morphogenesis","5/16","54/3861",1.72300121182829e-06,8.23594579253921e-05,6.20280436258183e-05,"Ttn/Pkp2/Myh6/Dsp/Actc1",5
"GO:0006936","muscle contraction","6/16","118/3861",4.47565434716748e-06,0.000178280231495505,0.000134269630415024,"Ttn/Pkp2/Myh6/Dsp/Actc1/Ctnna3",6
"GO:0048729","tissue morphogenesis","6/16","118/3861",4.47565434716748e-06,0.000178280231495505,0.000134269630415024,"Ttn/Pkp2/Myh6/Dsp/Actc1/Ctsz",6
"GO:0098911","regulation of ventricular cardiac muscle cell action potential","3/16","10/3861",6.88755600051276e-06,0.000253250136018854,0.0001907323200142,"Pkp2/Dsp/Ctnna3",3
"GO:0002027","regulation of heart rate","4/16","34/3861",8.47091644966075e-06,0.000289221290209846,0.000217823565848419,"Pkp2/Myh6/Dsp/Ctnna3",4
"GO:0086091","regulation of heart rate by cardiac conduction","3/16","13/3861",1.62911633745063e-05,0.0005191450728676,0.000390987920988151,"Pkp2/Dsp/Ctnna3",3
"GO:0048738","cardiac muscle tissue development","5/16","91/3861",2.31797494035128e-05,0.000658067135280704,0.00049561541569258,"Ttn/Pkp2/Myh6/Dsp/Actc1",5
"GO:0003012","muscle system process","6/16","158/3861",2.43376284973854e-05,0.000658067135280704,0.00049561541569258,"Ttn/Pkp2/Myh6/Dsp/Actc1/Ctnna3",6
"GO:0086005","ventricular cardiac muscle cell action potential","3/16","15/3861",2.57868744772564e-05,0.000658067135280704,0.00049561541569258,"Pkp2/Dsp/Ctnna3",3
"GO:0009887","animal organ morphogenesis","6/16","160/3861",2.6157480272664e-05,0.000658067135280704,0.00049561541569258,"Ttn/Pkp2/Myh6/Dsp/Actc1/Ctsz",6
"GO:0003013","circulatory system process","6/16","163/3861",2.90928424057253e-05,0.000662208508092223,0.000498734441241005,"Ttn/Pkp2/Myh6/Dsp/Actc1/Ctnna3",6
